datetime,date_text,title,ministers,portfolios,summary
2025-12-19T00:33:05Z,19 December 2025,New Plant Health and Environment Laboratory,Hon Chris Bishop;Hon Andrew Hoggard,Biosecurity;Infrastructure,… ever as the risk of new pests and diseases increases with climate change and an increasingly complex trade …
2025-12-16T22:04:15Z,17 December 2025,Removing barriers to hydrogen sector growth,Hon Simon Watts;Hon Brooke van Velden,Energy;Workplace Relations and Safety,"… more jobs, and deliver real benefits to our energy system, climate, and economy.” …"
2025-12-15T22:08:41Z,16 December 2025,"New ministry to deliver better housing, transport, and environmental outcomes",Hon Chris Bishop;Hon Judith Collins KC;Hon Simon Watts;Hon Penny Simmonds,Climate Change;Environment;Housing;Infrastructure;Local Government;Public Service;RMA Reform;Transport,"… our infrastructure deficit, and adaptation to climate change,” Housing, Transport, RMA Reform and … support – from planning and infrastructure through to climate adaptation,” Local Government and Climate Change Minister Simon Watts says. “New Zealanders …"
2025-12-12T06:47:38Z,12 December 2025,New methane target set in Parliament,Hon Todd McClay;Hon Simon Watts,Agriculture;Climate Change,"… methane target, Agriculture Minister Todd McClay and Climate Change Minister Simon Watts say. The Climate Change Response (2050 Target and Other Matters) … the biogenic methane component of New Zealand’s 2050 climate target and makes several other changes to ensure …"
2025-12-04T23:43:26Z,5 December 2025,Australia-New Zealand 2+2 Climate and Finance Ministers’ Dialogue Joint Statement,Hon Nicola Willis;Hon Simon Watts,Climate Change;Economic Growth;Energy;Finance,"… for Economic Growth and the Hon Simon Watts, Minister of Climate Change and Minister for Energy, welcomed the Hon Dr … MP, Treasurer and the Hon Chris Bowen MP, Minister for Climate Change and Energy to Auckland on 5 December 2025 for the third Australia-New Zealand Climate and Finance Ministers’ 2+2 Dialogue. Ministers agreed …"
2025-12-03T23:32:27Z,4 December 2025,NZ to host Parliamentary Assembly on Antarctica,Rt Hon Winston Peters,Foreign Affairs,… the region is not immune to the impacts of our changing climate or shifts in the geopolitical landscape.” Mr Peters …
2025-11-30T05:11:43Z,30 November 2025,NZ and US deepen Antarctic science partnership,Hon Dr Shane Reti,"Science, Innovation and Technology","… New joint research initiatives focused on climate and ecosystem change expand on the long-standing … science and strengthens our international standing in climate and ecosystem research,” Dr Reti says. …"
2025-11-25T05:40:00Z,25 November 2025,Cheaper electricity for Chatham Islands,Hon Mark Patterson,Regional Development,"… was funded by a $10 million grant from the government’s Climate Emergency Response Fund and a $500,000 grant from the …"
2025-11-20T04:23:30Z,20 November 2025,Better weather forecasting system passes first reading,Hon Simeon Brown;Hon Dr Shane Reti,"Science, Innovation and Technology;State Owned Enterprises","… MetService, bringing together our key meteorological and climate expertise and infrastructure, strengthening New Zealand’s understanding and response to climate and natural hazards,” Dr Reti says. “It also aims to … Kiwis will be able to access clearer insights into our climate, more accurate long-term weather forecasting and …"
2025-11-19T21:07:14Z,20 November 2025,NZ and Iceland collaborate on geothermal energy,Rt Hon Winston Peters;Hon Shane Jones,Foreign Affairs;Resources,"… of Arrangement was signed at COP 30 in Belem, Brazil, by Climate Change Minister Simon Watts and Iceland’s Minister of the Environment, Energy and Climate, Jóhann Páll Jóhannsson, following discussions …"
2025-11-14T01:00:50Z,14 November 2025,Climate Change Minister heads to COP30,Hon Simon Watts,Climate Change,"… Climate Change Minister Simon Watts will attend the 30 th annual United Nations Climate Change Summit (COP30) in Belém, Brazil, next week. “New Zealand needs all countries to take meaningful climate action, in line with rules we all agree to. This is …"
2025-11-13T02:16:43Z,13 November 2025,New declaration strengthens bond with Niue,Rt Hon Christopher Luxon,Prime Minister,"… Pacific regionalism, national security and defence, climate and economic priorities, and social and governance … Minister Simeon Brown, Police Minister Mark Mitchell, Climate Change Minister Simon Watts, and Building and …"
2025-11-13T00:03:16Z,13 November 2025,New IP rules to boost research commercialisation,Hon Dr Shane Reti,"Science, Innovation and Technology;Universities","… lead themselves. “Whether it’s developing new medicines, climate solutions or high-tech industries, this policy puts …"
2025-11-05T00:06:15Z,5 November 2025,New research grants to grow the economy,Hon Dr Shane Reti,"Science, Innovation and Technology",… Funded projects span from biomedical breakthroughs and climate resilience to mathematical innovation and advanced …
2025-11-04T20:57:09Z,5 November 2025,Full farm-to-forest conversion limits now in place,Hon Todd McClay,Agriculture;Forestry,… Agriculture and Forestry Minister Todd McClay says. The Climate Change Response (Emissions Trading Scheme - Forestry …
2025-11-04T07:01:02Z,4 November 2025,Improving New Zealand’s climate change act,Hon Simon Watts,Climate Change,"… Climate Change Minister Simon Watts has released a new … alongside a range of improvements to New Zealand’s climate change legislation. “The Carbon Removals Assessment … Reduction Plan, showcasing the Government’s commitment to climate action that grows the economy and supporting …"
2025-10-30T23:26:29Z,31 October 2025,Negotiations launched for trilateral agreement supporting green trade and investment,Hon Todd McClay,Trade and Investment,"… alternatives. “New Zealand is committed to meeting its climate targets, and this innovative agreement will help … and the agreement will be a flagship initiative under the Climate Change and Green Economy, and Trade and Economics …"
2025-10-29T15:39:19Z,30 October 2025,"Joint Statement by the Foreign Ministers of the Nordic Countries (Denmark, Finland, Iceland, Norway, Sweden) and New Zealand, 29 October 2025",Rt Hon Winston Peters,Foreign Affairs,"… Union - New Zealand Free Trade Agreement, the Agreement on Climate Change Trade and Sustainability, and the Future of …"
2025-10-25T21:49:43Z,26 October 2025,EU Commissioner and Trade Minister agree to boost cooperation and reduce costs on businesses,Hon Todd McClay,Trade and Investment,… its commitments under the FTA around environmental and climate change and that we contribute to afforestation. We …
2025-10-21T22:09:43Z,22 October 2025,Charging ahead with solar and sustainable buildings,Hon Chris Penk,Building and Construction,"… efficiency, water efficiency, low embodied carbon, or climate resiliency. “Legislation to create a fast-track …"
2025-10-21T21:02:16Z,22 October 2025,Accelerating bioenergy in New Zealand,Hon Simon Watts,Energy,… bolstering energy security and helping us achieve our climate goals.” …
2025-10-21T18:05:00Z,22 October 2025,Commonsense changes to boost capital markets,Hon Scott Simpson,Commerce and Consumer Affairs,"… and Consumer Affairs Minister Scott Simpson. “Mandatory climate reporting has imposed heavy costs on listed … “I have also heard that the cost and risk associated with climate reporting may be deterring listings. Since 2020, 34 … listing. Now we’re making common-sense adjustments to the climate reporting regime so it is fit for purpose. Mr Simpson …"
2025-10-20T02:30:00Z,20 October 2025,Penk heads to Chile for South Pacific defence talks,Hon Chris Penk,Defence,"… to face alone. Topics on the agenda for discussion include climate change, extreme weather events, illegal fishing, drug …"
2025-10-19T22:25:57Z,20 October 2025,New methane research barn boosts farmer options,Hon Todd McClay,Agriculture,… available by 2030. “We are committed to meeting our climate obligations without closing down farms and sending …
2025-10-17T01:46:11Z,17 October 2025,New methane research barn boosts farmer options,Hon Todd McClay,Agriculture,… available by 2030. “We are committed to meeting our climate obligations without closing down farms and sending …
2025-10-16T23:21:32Z,17 October 2025,AgriZeroNZ board reinforced to drive methane reduction,Hon Todd McClay,Agriculture,"… by 2030,” Mr McClay says. “We are committed to meeting our climate obligations without closing down farms and sending …"
2025-10-15T16:00:00Z,16 October 2025,Our enduring approach to a changing climate,Hon Simon Watts,Climate Change,"… what risks they face and what the plan is to address them, Climate Change Minister Simon Watts says. “New Zealand faces … system that prepares New Zealand for the impacts of climate change, supports economic growth and keeps the … to ensure New Zealand is prepared for the effects of climate change. These pillars include: Risks and response …"
2025-10-11T11:00:57Z,12 October 2025,Government sets methane targets for 2050,Hon Todd McClay;Hon Simon Watts;Hon Andrew Hoggard,Agriculture;Biosecurity;Climate Change;Food Safety;Trade and Investment,"… efficiency, protects jobs and production, and upholds our climate commitments,” Agriculture and Trade and Investment … remains committed to our domestic and international climate change commitments, including net zero by 2050. … and fair contribution to achieving this reduction,” Climate Change Minister Simon Watts says. The Coalition …"
2025-10-09T22:55:55Z,10 October 2025,New deal deepens NZ-Singapore partnership,Rt Hon Christopher Luxon,Prime Minister,"… from supply chain resilience and digital trade, to climate change and maritime security,” Mr Luxon says. The … Security; Science and Innovation; People-to-People links; Climate and Green Economy; and Supply Chains and …"
2025-10-07T21:14:43Z,8 October 2025,Frontline partnerships deliver job seeker support,Hon Louise Upston,Social Development and Employment,"… looking for a role. “Even with the challenging economic climate, we’ve seen an increasing number of Jobseeker work …"
2025-09-17T22:42:01Z,18 September 2025,Government delivers on promise to protect productive farmland from ETS,Hon Todd McClay;Hon Simon Watts,Agriculture;Climate Change;Forestry,"… on a key election commitment with the passing of the Climate Change Response (Emissions Trading Scheme Forestry … of Agriculture and Forestry Todd McClay and Minister of Climate Change Simon Watts announced yesterday. “This Bill … and ensuring the ETS continues to deliver credible climate outcomes,” Mr McClay says. Climate Change Minister …"
2025-09-03T22:32:29Z,4 September 2025,Endeavour Fund research to shape NZ’s future,Hon Dr Shane Reti;Hon Shane Jones,"Regional Development;Science, Innovation and Technology",… Reti says. Projects funded in the 2025 round include: New climate technology to monitor the upper atmosphere and …
2025-08-09T05:17:43Z,9 August 2025,PM Luxon concludes successful Aus-NZ meeting,Rt Hon Christopher Luxon,Prime Minister,… Zealand Leadership Forum in Canberra in September and the Climate and Finance Ministers’ meeting and CER Trade …
2025-07-30T22:52:05Z,31 July 2025,Reform of import health systems begins,Hon Andrew Hoggard,Biosecurity,"… to stay competitive, improve productivity, adapt to climate change, and meet evolving consumer preferences. We’re …"
2025-07-28T06:14:57Z,28 July 2025,PM Luxon to host Solomon Islands Prime Minister,Rt Hon Christopher Luxon,Prime Minister,"… includes support for education, economic development, climate resilience, and peacebuilding. While in New Zealand, …"
2025-07-23T03:17:43Z,23 July 2025,"NZ renews commitment to Pacific health, agriculture",Hon Dr Shane Reti,Pacific Peoples,"… to Pacific-led priorities and announced new support for climate resilience and public health. “This week’s Forum … Fiji’s NZ$3.2 million participation in the Pacific Climate-Smart Agriculture and Sustainable Land Management Partnership. “This investment will help develop climate-resilient crops, restore soil health, and support …"
