minister,page_name,role,label,value
Hon Chris Bishop,Chris Bishop,"The Honourable
Chris Bishop
MP",Dates,Bishop in 2023
Hon Chris Bishop,Chris Bishop,13th Leader of the House,Dates,"In office
27 November 2023 – 7 April 2026"
Hon Chris Bishop,Chris Bishop,13th Leader of the House,Prime Minister,Christopher Luxon
Hon Chris Bishop,Chris Bishop,13th Leader of the House,Preceded by,Grant Robertson
Hon Chris Bishop,Chris Bishop,13th Leader of the House,Succeeded by,Louise Upston
Hon Chris Bishop,Chris Bishop,35th Attorney-General of New Zealand,Dates,Incumbent
Hon Chris Bishop,Chris Bishop,35th Attorney-General of New Zealand,Dates,"Assumed office
7 April 2026"
Hon Chris Bishop,Chris Bishop,35th Attorney-General of New Zealand,Prime Minister,Christopher Luxon
Hon Chris Bishop,Chris Bishop,35th Attorney-General of New Zealand,Preceded by,Judith Collins
Hon Chris Bishop,Chris Bishop,30th Minister of Transport,Dates,Incumbent
Hon Chris Bishop,Chris Bishop,30th Minister of Transport,Dates,"Assumed office
24 January 2025"
Hon Chris Bishop,Chris Bishop,30th Minister of Transport,Prime Minister,Christopher Luxon
Hon Chris Bishop,Chris Bishop,30th Minister of Transport,Preceded by,Simeon Brown
Hon Chris Bishop,Chris Bishop,6th Minister for Housing,Dates,Incumbent
Hon Chris Bishop,Chris Bishop,6th Minister for Housing,Dates,"Assumed office
27 November 2023"
Hon Chris Bishop,Chris Bishop,6th Minister for Housing,Prime Minister,Christopher Luxon
Hon Chris Bishop,Chris Bishop,6th Minister for Housing,Preceded by,Megan Woods
Hon Chris Bishop,Chris Bishop,29th Minister for Infrastructure,Dates,Incumbent
Hon Chris Bishop,Chris Bishop,29th Minister for Infrastructure,Dates,"Assumed office
27 November 2023"
Hon Chris Bishop,Chris Bishop,29th Minister for Infrastructure,Prime Minister,Christopher Luxon
Hon Chris Bishop,Chris Bishop,29th Minister for Infrastructure,Preceded by,Megan Woods
Hon Chris Bishop,Chris Bishop,1st Minister Responsible for RMA Reform,Dates,Incumbent
Hon Chris Bishop,Chris Bishop,1st Minister Responsible for RMA Reform,Dates,"Assumed office
27 November 2023"
Hon Chris Bishop,Chris Bishop,1st Minister Responsible for RMA Reform,Prime Minister,Christopher Luxon
Hon Chris Bishop,Chris Bishop,1st Minister Responsible for RMA Reform,Preceded by,Office established
Hon Chris Bishop,Chris Bishop,12th Minister for Sport and Recreation,Dates,"In office
27 November 2023 – 24 January 2025"
Hon Chris Bishop,Chris Bishop,12th Minister for Sport and Recreation,Prime Minister,Christopher Luxon
Hon Chris Bishop,Chris Bishop,12th Minister for Sport and Recreation,Preceded by,Grant Robertson
Hon Chris Bishop,Chris Bishop,12th Minister for Sport and Recreation,Succeeded by,Mark Mitchell
Hon Chris Bishop,Chris Bishop,11th Shadow Leader of the House,Dates,"In office
6 December 2021 – 19 January 2023"
Hon Chris Bishop,Chris Bishop,11th Shadow Leader of the House,Leader,Christopher Luxon
Hon Chris Bishop,Chris Bishop,11th Shadow Leader of the House,Preceded by,Michael Woodhouse
Hon Chris Bishop,Chris Bishop,11th Shadow Leader of the House,Succeeded by,Michael Woodhouse
Hon Chris Bishop,Chris Bishop,11th Shadow Leader of the House,Dates,"In office
16 July 2020 – 27 August 2021"
Hon Chris Bishop,Chris Bishop,11th Shadow Leader of the House,Leader,Judith Collins
Hon Chris Bishop,Chris Bishop,11th Shadow Leader of the House,Preceded by,Gerry Brownlee
Hon Chris Bishop,Chris Bishop,Member of the New Zealand Parliament,Dates,Incumbent
Hon Chris Bishop,Chris Bishop,Member of the New Zealand Parliament,Dates,"Assumed office
20 September 2014"
Hon Chris Bishop,Chris Bishop,Member of the New Zealand Parliament,Constituency,"List (2014–17)
Hutt South (2017–2020)
List (2020–2023)
Hutt South (2023–present)"
Hon Chris Bishop,Chris Bishop,Personal details,Born,"(1983-09-04)4 September 1983(age 42)

Lower Hutt, New Zealand"
Hon Chris Bishop,Chris Bishop,Personal details,Party,National
Hon Chris Bishop,Chris Bishop,Personal details,Spouse,Jenna Raeburn
Hon Chris Bishop,Chris Bishop,Personal details,Children,1
Hon Chris Bishop,Chris Bishop,Personal details,Alma mater,Victoria University of Wellington
Hon Chris Bishop,Chris Bishop,Personal details,Profession,"Manager, Tobacco Lobbyist"
Hon Andrew Hoggard,Andrew Hoggard,"The Honourable
Andrew Hoggard
MP",Dates,Hoggard in 2024
Hon Andrew Hoggard,Andrew Hoggard,8th Minister for Biosecurity,Dates,Incumbent
Hon Andrew Hoggard,Andrew Hoggard,8th Minister for Biosecurity,Dates,"Assumed office
27 November 2023"
Hon Andrew Hoggard,Andrew Hoggard,8th Minister for Biosecurity,Prime Minister,Christopher Luxon
Hon Andrew Hoggard,Andrew Hoggard,8th Minister for Biosecurity,Preceded by,Damien O'Connor
Hon Andrew Hoggard,Andrew Hoggard,"Member of the New Zealand Parliament
for ACT party list",Dates,Incumbent
Hon Andrew Hoggard,Andrew Hoggard,"Member of the New Zealand Parliament
for ACT party list",Dates,"Assumed office
14 October 2023"
Hon Andrew Hoggard,Andrew Hoggard,President of Federated Farmers,Dates,"In office
26 June 2020 – 8 May 2023"
Hon Andrew Hoggard,Andrew Hoggard,President of Federated Farmers,Preceded by,Katie Milne
Hon Andrew Hoggard,Andrew Hoggard,President of Federated Farmers,Succeeded by,Wayne Langford
Hon Andrew Hoggard,Andrew Hoggard,Personal details,Born,"Andrew John Hoggard
1974 or 1975 (age 50–51)"
Hon Andrew Hoggard,Andrew Hoggard,Personal details,Party,ACT (since 2019)
Hon Andrew Hoggard,Andrew Hoggard,Personal details,Education,Heretaunga College
Hon Andrew Hoggard,Andrew Hoggard,Personal details,Alma mater,Massey University
Hon Andrew Hoggard,Andrew Hoggard,Personal details,Occupation,Dairy farmer
Hon Simon Watts,Simon Watts,"The Honourable
Simon Watts
MP",Dates,Watts in 2023
Hon Simon Watts,Simon Watts,33rd Minister of Revenue,Dates,Incumbent
Hon Simon Watts,Simon Watts,33rd Minister of Revenue,Dates,"Assumed office
27 November 2023"
Hon Simon Watts,Simon Watts,33rd Minister of Revenue,Prime Minister,Christopher Luxon
Hon Simon Watts,Simon Watts,33rd Minister of Revenue,Preceded by,Barbara Edmonds
Hon Simon Watts,Simon Watts,7th Minister of Climate Change,Dates,Incumbent
Hon Simon Watts,Simon Watts,7th Minister of Climate Change,Dates,"Assumed office
27 November 2023"
Hon Simon Watts,Simon Watts,7th Minister of Climate Change,Prime Minister,Christopher Luxon
Hon Simon Watts,Simon Watts,7th Minister of Climate Change,Preceded by,James Shaw
Hon Simon Watts,Simon Watts,19th Minister for Energy,Dates,"In office
24 January 2025 – 7 April 2026"
Hon Simon Watts,Simon Watts,19th Minister for Energy,Prime Minister,Christopher Luxon
Hon Simon Watts,Simon Watts,19th Minister for Energy,Preceded by,Simeon Brown
Hon Simon Watts,Simon Watts,19th Minister for Energy,Succeeded by,Simeon Brown
Hon Simon Watts,Simon Watts,23rd Minister of Local Government,Dates,Incumbent
Hon Simon Watts,Simon Watts,23rd Minister of Local Government,Dates,"Assumed office
24 January 2025"
Hon Simon Watts,Simon Watts,23rd Minister of Local Government,Prime Minister,Christopher Luxon
Hon Simon Watts,Simon Watts,23rd Minister of Local Government,Preceded by,Simeon Brown
Hon Simon Watts,Simon Watts,5th Minister for Auckland,Dates,Incumbent
Hon Simon Watts,Simon Watts,5th Minister for Auckland,Dates,"Assumed office
7 April 2026"
Hon Simon Watts,Simon Watts,5th Minister for Auckland,Prime Minister,Christopher Luxon
Hon Simon Watts,Simon Watts,5th Minister for Auckland,Preceded by,Simeon Brown
Hon Simon Watts,Simon Watts,"Member of the New Zealand Parliament
for North Shore",Dates,Incumbent
Hon Simon Watts,Simon Watts,"Member of the New Zealand Parliament
for North Shore",Dates,"Assumed office
17 October 2020"
Hon Simon Watts,Simon Watts,"Member of the New Zealand Parliament
for North Shore",Preceded by,Maggie Barry
